query;seed_ortholog;evalue;score;eggNOG_OGs;max_annot_lvl;COG_category;Description;Preferred_name;GOs;EC;KEGG_ko;KEGG_Pathway;KEGG_Module;KEGG_Reaction;KEGG_rclass;BRITE;KEGG_TC;CAZy;BiGG_Reaction;PFAMs
k105_100312_4;344747.PM8797T_06170;3.19e-46;158.0;COG0122@1|root,COG0122@2|Bacteria,2J036@203682|Planctomycetes;203682|Planctomycetes;L;COG0122 3-methyladenine DNA glycosylase 8-oxoguanine DNA glycosylase;-;-;3.2.2.21;ko:K01247;ko03410,map03410;-;-;-;ko00000,ko00001,ko01000,ko03400;-;-;-;HhH-GPD
k105_100411_1;436308.Nmar_1242;1.51e-175;492.0;COG1630@1|root,arCOG00367@2157|Archaea,41SJX@651137|Thaumarchaeota;651137|Thaumarchaeota;L;NurA;-;-;-;-;-;-;-;-;-;-;-;-;NurA
k105_100411_2;436308.Nmar_1243;5.54e-311;854.0;COG0433@1|root,arCOG00280@2157|Archaea,41SE3@651137|Thaumarchaeota;651137|Thaumarchaeota;L;Domain of unknown function DUF87;-;-;-;ko:K06915;-;-;-;-;ko00000;-;-;-;DUF87
k105_100411_3;436308.Nmar_1244;6.53e-83;255.0;COG0420@1|root,arCOG00397@2157|Archaea,41S68@651137|Thaumarchaeota;651137|Thaumarchaeota;L;Calcineurin-like phosphoesterase superfamily domain;-;-;-;ko:K03547;-;-;-;-;ko00000,ko03400;-;-;-;Metallophos_2
k105_100453_1;1229909.NSED_03270;7.95e-37;126.0;arCOG08654@1|root,arCOG08654@2157|Archaea,41SRM@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_100453_2;436308.Nmar_0635;4.01e-145;416.0;COG2084@1|root,arCOG00247@2157|Archaea,41SI2@651137|Thaumarchaeota;651137|Thaumarchaeota;I;NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase;-;-;1.1.1.31;ko:K00020;ko00280,ko01100,map00280,map01100;-;R05066;RC00099;ko00000,ko00001,ko01000;-;-;-;NAD_binding_11,NAD_binding_2
k105_100453_3;1229909.NSED_03250;5.81e-37;125.0;arCOG08753@1|root,arCOG08753@2157|Archaea,41T9W@651137|Thaumarchaeota;651137|Thaumarchaeota;C;4 iron, 4 sulfur cluster binding;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_100453_4;1229909.NSED_03245;1.06e-240;667.0;COG0644@1|root,arCOG00570@2157|Archaea,41S82@651137|Thaumarchaeota;651137|Thaumarchaeota;C;geranylgeranyl reductase;-;-;1.3.1.101,1.3.7.11;ko:K17830;ko00564,map00564;-;R10325,R10326,R10331;RC03134;ko00000,ko00001,ko01000;-;-;-;DAO,FAD_oxidored,Trp_halogenase
k105_100453_6;1229909.NSED_03235;3.07e-111;323.0;arCOG01781@1|root,arCOG01781@2157|Archaea,41T0U@651137|Thaumarchaeota;651137|Thaumarchaeota;Q;Protein of unknown function (DUF1698);-;-;-;-;-;-;-;-;-;-;-;-;Methyltransf_11
k105_100546_1;1229909.NSED_02770;6.8e-102;303.0;COG0082@1|root,arCOG04133@2157|Archaea,41SC3@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system;aroC;-;4.2.3.5;ko:K01736;ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230;M00022;R01714;RC00586;ko00000,ko00001,ko00002,ko01000;-;-;-;Chorismate_synt
k105_100546_2;436308.Nmar_0548;2.98e-232;648.0;COG0128@1|root,arCOG04134@2157|Archaea,41S5I@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate;aroA;-;2.5.1.19;ko:K00800;ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230;M00022;R03460;RC00350;ko00000,ko00001,ko00002,ko01000;-;-;-;EPSP_synthase
k105_100546_3;436308.Nmar_0549;3.04e-155;441.0;COG1685@1|root,arCOG01025@2157|Archaea,41SGZ@651137|Thaumarchaeota;651137|Thaumarchaeota;E;GHMP kinases N terminal domain;aroK;-;2.7.1.71;ko:K00891;ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230;M00022;R02412;RC00002,RC00078;ko00000,ko00001,ko00002,ko01000;-;-;-;GHMP_kinases_C,GHMP_kinases_N
k105_100546_4;1229909.NSED_02790;2.03e-145;415.0;COG0169@1|root,arCOG01033@2157|Archaea,41S6G@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA);aroE;-;1.1.1.25;ko:K00014;ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230;M00022;R02413;RC00206;ko00000,ko00001,ko00002,ko01000;-;-;-;Shikimate_DH,Shikimate_dh_N
k105_100546_5;1229909.NSED_02795;2.9e-119;345.0;COG0169@1|root,arCOG02097@2157|Archaea,41SKU@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Involved in the third step of the chorismate pathway, which leads to the biosynthesis of aromatic amino acids. Catalyzes the cis-dehydration of 3-dehydroquinate (DHQ) and introduces the first double bond of the aromatic ring to yield 3- dehydroshikimate;aroD;-;4.2.1.10;ko:K03785;ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230;M00022;R03084;RC00848;ko00000,ko00001,ko00002,ko01000;-;-;-;DHquinase_I
k105_100546_6;436308.Nmar_0552;5.54e-227;628.0;COG1465@1|root,arCOG04353@2157|Archaea,41S88@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Catalyzes the oxidative deamination and cyclization of 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid (ADH) to yield 3- dehydroquinate (DHQ), which is fed into the canonical shikimic pathway of aromatic amino acid biosynthesis;aroB';-;1.4.1.24;ko:K11646;ko00400,ko01110,ko01130,map00400,map01110,map01130;-;R08569;RC02302;ko00000,ko00001,ko01000;-;-;-;DHQS
k105_100546_7;436308.Nmar_0553;4.61e-177;494.0;COG1830@1|root,arCOG04044@2157|Archaea,41SCP@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Catalyzes a transaldol reaction between 6-deoxy-5- ketofructose 1-phosphate (DKFP) and L-aspartate semialdehyde (ASA) with an elimination of hydroxypyruvaldehyde phosphate to yield 2- amino-3,7-dideoxy-D-threo-hept-6-ulosonate (ADH). Plays a key role in an alternative pathway of the biosynthesis of 3-dehydroquinate (DHQ), which is involved in the canonical pathway for the biosynthesis of aromatic amino acids;aroA';-;2.2.1.10,4.1.2.13;ko:K16306;ko00010,ko00030,ko00051,ko00400,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00400,map00680,map01100,map01110,map01120,map01130,map01200,map01230;M00001;R01068,R01070,R02568,R08568;RC00438,RC00439,RC00721,RC02301;ko00000,ko00001,ko00002,ko01000;-;-;-;DeoC
k105_100546_8;1229909.NSED_02810;3.16e-86;263.0;COG1060@1|root,arCOG00656@2157|Archaea,41SCN@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Radical SAM enzyme that catalyzes the cyclization of dehypoxanthine futalosine (DHFL) into cyclic dehypoxanthine futalosine (CDHFL), a step in the biosynthesis of menaquinone (MK, vitamin K2);mqnC;-;-;-;-;-;-;-;-;-;-;-;Radical_SAM
k105_100550_1;1229909.NSED_01090;1.26e-260;719.0;COG0124@1|root,arCOG00404@2157|Archaea,41S9T@651137|Thaumarchaeota;651137|Thaumarchaeota;J;histidyl-tRNA synthetase;-;-;6.1.1.21;ko:K01892;ko00970,map00970;M00359,M00360;R03655;RC00055,RC00523;ko00000,ko00001,ko00002,ko01000,ko01007,ko03016;-;-;-;HGTP_anticodon,tRNA-synt_His
k105_100550_2;1229909.NSED_01095;6.27e-100;296.0;COG1976@1|root,arCOG04176@2157|Archaea,41SIP@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Binds to the 50S ribosomal subunit and prevents its association with the 30S ribosomal subunit to form the 70S initiation complex;eif6;-;-;ko:K03264;ko03008,map03008;-;-;-;ko00000,ko00001,ko03009,ko03012;-;-;-;eIF-6
k105_100550_3;1229909.NSED_01100;4.15e-104;301.0;COG1146@1|root,arCOG04548@2157|Archaea,41SI0@651137|Thaumarchaeota;651137|Thaumarchaeota;C;PFAM 4Fe-4S dicluster domain;-;-;-;-;-;-;-;-;-;-;-;-;Fer4
k105_101524_1;1229909.NSED_00350;2e-61;193.0;arCOG10517@1|root,arCOG10517@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_101524_2;1229909.NSED_00345;1.18e-44;145.0;arCOG10516@1|root,arCOG10516@2157|Archaea,41T5R@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_101524_3;436308.Nmar_1592;2.12e-73;221.0;arCOG07348@1|root,arCOG07348@2157|Archaea,41SUQ@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_101524_4;1229909.NSED_08620;2.35e-91;275.0;arCOG10593@1|root,arCOG10593@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_101524_5;1229909.NSED_08640;5.44e-89;263.0;COG1607@1|root,arCOG00773@2157|Archaea,41T2J@651137|Thaumarchaeota;651137|Thaumarchaeota;I;Thioesterase superfamily;-;-;-;-;-;-;-;-;-;-;-;-;4HBT
k105_101524_6;1229909.NSED_08645;7.78e-284;780.0;COG0043@1|root,arCOG01671@2157|Archaea,41SEQ@651137|Thaumarchaeota;651137|Thaumarchaeota;H;UbiD family decarboxylase;-;-;-;-;-;-;-;-;-;-;-;-;UbiD
k105_101524_7;436308.Nmar_1598;4.3e-49;159.0;arCOG08790@1|root,arCOG08790@2157|Archaea,41SWN@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_17352_1;436308.Nmar_0861;5.22e-21;85.1;arCOG10555@1|root,arCOG10555@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_17352_4;436308.Nmar_0860;2.7e-32;113.0;arCOG10554@1|root,arCOG10554@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_17352_5;436308.Nmar_0859;2.22e-77;235.0;COG1896@1|root,arCOG04311@2157|Archaea,41SQE@651137|Thaumarchaeota;651137|Thaumarchaeota;S;HD domain;-;-;-;ko:K07023;-;-;-;-;ko00000;-;-;-;HD_3
k105_17352_6;436308.Nmar_0858;3.37e-93;275.0;COG2096@1|root,arCOG00489@2157|Archaea,41T2I@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Cobalamin adenosyltransferase;-;-;2.5.1.17;ko:K00798;ko00860,ko01100,map00860,map01100;M00122;R01492,R05220,R07268;RC00533;ko00000,ko00001,ko00002,ko01000;-;-;-;Cob_adeno_trans
k105_101850_1;436308.Nmar_0722;1.13e-40;135.0;arCOG11724@1|root,arCOG11724@2157|Archaea;2157|Archaea;S;Arsenate reductase and related;-;-;1.20.4.1;ko:K00537;-;-;-;-;ko00000,ko01000;-;-;-;ArsC
k105_101850_2;1229909.NSED_03725;1.49e-39;132.0;arCOG10537@1|root,arCOG10537@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_101850_3;436308.Nmar_0719;1.96e-216;601.0;COG0601@1|root,arCOG00751@2157|Archaea,41S7B@651137|Thaumarchaeota;651137|Thaumarchaeota;P;inner membrane component;-;-;-;ko:K02033;ko02024,map02024;M00239;-;-;ko00000,ko00001,ko00002,ko02000;3.A.1.5;-;-;BPD_transp_1
k105_101850_4;436308.Nmar_0718;1.08e-91;283.0;COG1173@1|root,arCOG00749@2157|Archaea,41SFE@651137|Thaumarchaeota;651137|Thaumarchaeota;P;inner membrane component;-;-;-;ko:K02034;ko02024,map02024;M00239;-;-;ko00000,ko00001,ko00002,ko02000;3.A.1.5;-;-;BPD_transp_1
k105_102364_3;436308.Nmar_0359;2.88e-125;363.0;COG0644@1|root,arCOG00570@2157|Archaea,41SCG@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Is involved in the reduction of 2,3- digeranylgeranylglycerophospholipids (unsaturated archaeols) into 2,3-diphytanylglycerophospholipids (saturated archaeols) in the biosynthesis of archaeal membrane lipids. Catalyzes the formation of archaetidic acid (2,3-di-O-phytanyl-sn-glyceryl phosphate) from 2,3-di-O-geranylgeranylglyceryl phosphate (DGGGP) via the hydrogenation of each double bond of the isoprenoid chains;-;-;-;-;-;-;-;-;-;-;-;-;Trp_halogenase
k105_102658_2;1229909.NSED_00185;2.99e-196;550.0;COG0484@1|root,arCOG02846@2157|Archaea,41SCZ@651137|Thaumarchaeota;651137|Thaumarchaeota;O;DnaJ central domain;-;-;-;ko:K03686;-;-;-;-;ko00000,ko03029,ko03110;-;-;-;DnaJ,DnaJ_C,DnaJ_CXXCXGXG
k105_102658_3;1229909.NSED_00190;2.33e-69;213.0;arCOG10136@1|root,arCOG10136@2157|Archaea,41T5E@651137|Thaumarchaeota;651137|Thaumarchaeota;S;5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C);-;-;-;ko:K05967;-;-;-;-;ko00000;-;-;-;NT5C
k105_18404_2;1229909.NSED_04885;5.29e-34;117.0;arCOG11517@1|root,arCOG11517@2157|Archaea,41TAE@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_18404_4;1229909.NSED_04875;7.42e-109;325.0;COG0017@1|root,arCOG00406@2157|Archaea,41SBT@651137|Thaumarchaeota;651137|Thaumarchaeota;J;Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn);-;-;6.1.1.23;ko:K09759;ko00970,map00970;M00360;R03647,R05577;RC00055,RC00523;ko00000,ko00001,ko00002,ko01000,ko01007,ko03016;-;-;-;tRNA-synt_2,tRNA_anti-codon
k105_103573_1;436308.Nmar_0080;1.52e-68;211.0;COG2082@1|root,arCOG02247@2157|Archaea,41SXG@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Precorrin-8X methylmutase;-;-;5.4.99.60,5.4.99.61;ko:K06042;ko00860,ko01100,map00860,map01100;-;R05177,R05814;RC01292,RC01980;ko00000,ko00001,ko01000;-;-;-;CbiC
k105_103573_2;1229909.NSED_00100;3.91e-148;420.0;COG2138@1|root,arCOG02246@2157|Archaea,41SH6@651137|Thaumarchaeota;651137|Thaumarchaeota;P;Cobalt chelatase (CbiK);-;-;5.4.99.60,5.4.99.61;ko:K06042;ko00860,ko01100,map00860,map01100;-;R05177,R05814;RC01292,RC01980;ko00000,ko00001,ko01000;-;-;-;CbiX
k105_103573_3;1229909.NSED_00105;1.26e-203;569.0;COG2073@1|root,arCOG00651@2157|Archaea,41S83@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Cobalamin synthesis G C-terminus;-;-;3.7.1.12;ko:K02189;ko00860,ko01100,map00860,map01100;-;R07772;RC01545,RC02097;ko00000,ko00001,ko01000;-;-;-;CbiG_C,CbiG_N,CbiG_mid
k105_103573_4;1229909.NSED_00110;1.53e-219;610.0;COG1903@1|root,arCOG04383@2157|Archaea,41S70@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Catalyzes the methylation of C-1 in cobalt-precorrin-5B to form cobalt-precorrin-6A;cbiD;-;2.1.1.195;ko:K02188;ko00860,ko01100,map00860,map01100;-;R07773;RC00003,RC02051;ko00000,ko00001,ko01000;-;-;-;CbiD
k105_103573_5;1229909.NSED_00115;1.99e-137;396.0;COG0702@1|root,arCOG03015@2157|Archaea,41T19@651137|Thaumarchaeota;651137|Thaumarchaeota;M;NAD(P)H-binding;-;-;1.6.5.3,1.6.99.3;ko:K00329,ko:K00356;ko00190,map00190;-;R11945;RC00061;ko00000,ko00001,ko01000;-;-;-;NAD_binding_10
k105_103573_6;1229909.NSED_00120;2.54e-156;446.0;COG0192@1|root,arCOG07444@2157|Archaea,41S5P@651137|Thaumarchaeota;651137|Thaumarchaeota;H;S-adenosylmethionine synthetase;-;-;2.5.1.6;ko:K00789;ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230;M00034,M00035,M00368,M00609;R00177,R04771;RC00021,RC01211;ko00000,ko00001,ko00002,ko01000;-;-;-;S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N
k105_104009_1;1229909.NSED_07955;2.41e-226;633.0;COG1109@1|root,arCOG00767@2157|Archaea,41SC1@651137|Thaumarchaeota;651137|Thaumarchaeota;G;phosphoglucomutase phosphomannomutase alpha beta alpha domain I;-;-;-;-;-;-;-;-;-;-;-;-;PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV
k105_104009_3;1229909.NSED_07885;1.53e-23;90.5;arCOG10410@1|root,arCOG10410@2157|Archaea;2157|Archaea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_104009_4;1229909.NSED_07880;2.65e-15;70.5;arCOG11531@1|root,arCOG11531@2157|Archaea,41TAQ@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_104009_5;436308.Nmar_1446;1.85e-52;166.0;COG3432@1|root,arCOG01055@2157|Archaea,41SST@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Winged helix-turn-helix;-;-;-;-;-;-;-;-;-;-;-;-;HTH_45
k105_104009_6;1229909.NSED_07870;2.88e-116;335.0;arCOG08730@1|root,arCOG08730@2157|Archaea,41SNH@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_104009_7;1229909.NSED_07860;5.19e-258;717.0;arCOG06613@1|root,arCOG06613@2157|Archaea,41T0Z@651137|Thaumarchaeota;651137|Thaumarchaeota;V;AIPR protein;-;-;-;-;-;-;-;-;-;-;-;-;AIPR
k105_20310_4;436308.Nmar_0979;5.12e-57;186.0;COG1405@1|root,arCOG01981@2157|Archaea,41SXZ@651137|Thaumarchaeota;651137|Thaumarchaeota;K;Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB);-;-;-;ko:K03124;ko03022,ko05169,ko05203,map03022,map05169,map05203;-;-;-;ko00000,ko00001,ko03021;-;-;-;TFIIB
k105_20409_2;1229909.NSED_06410;0.0;1703.0;COG0178@1|root,arCOG04694@2157|Archaea,41T01@651137|Thaumarchaeota;651137|Thaumarchaeota;L;The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate;uvrA;-;-;ko:K03701;ko03420,map03420;-;-;-;ko00000,ko00001,ko03400;-;-;-;ABC_tran
k105_20409_3;1229909.NSED_06405;1.36e-247;689.0;COG0322@1|root,arCOG04753@2157|Archaea,41SX9@651137|Thaumarchaeota;651137|Thaumarchaeota;L;TIGRFAM excinuclease ABC, C subunit;-;-;-;ko:K03703;ko03420,map03420;-;-;-;ko00000,ko00001,ko03400;-;-;-;GIY-YIG,UVR,UvrC_HhH_N
k105_105717_1;436308.Nmar_1732;2.46e-86;257.0;COG1056@1|root,arCOG00972@2157|Archaea,41T7B@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Cytidylyltransferase-like;-;-;2.7.7.1;ko:K00952;ko00760,ko01100,map00760,map01100;-;R00137,R03005;RC00002;ko00000,ko00001,ko01000;-;-;-;CTP_transf_like
k105_105717_2;436308.Nmar_1731;1.56e-203;571.0;COG0075@1|root,arCOG00082@2157|Archaea,41SZZ@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Aminotransferase class-V;-;-;-;-;-;-;-;-;-;-;-;-;Aminotran_5
k105_105717_3;1229909.NSED_09210;1.36e-148;421.0;COG1047@1|root,arCOG00980@2157|Archaea,41T0T@651137|Thaumarchaeota;651137|Thaumarchaeota;O;Peptidyl-prolyl cis-trans;-;-;5.2.1.8;ko:K01802;-;-;-;-;ko00000,ko01000;-;-;-;FKBP_C
k105_105717_4;436308.Nmar_1729;2.52e-194;545.0;COG0371@1|root,arCOG00982@2157|Archaea,41T0B@651137|Thaumarchaeota;651137|Thaumarchaeota;C;Catalyzes the NAD(P)H-dependent reduction of dihydroxyacetonephosphate (DHAP or glycerone phosphate) to glycerol 1-phosphate (G1P). The G1P thus generated is used as the glycerophosphate backbone of phospholipids in the cellular membranes of Archaea;egsA;-;1.1.1.261;ko:K00096;ko00564,map00564;-;R05679,R05680;RC00029;ko00000,ko00001,ko01000;-;-;-;Fe-ADH_2
k105_105717_5;1229909.NSED_09200;6.38e-141;399.0;COG0638@1|root,arCOG00970@2157|Archaea,41T1N@651137|Thaumarchaeota;651137|Thaumarchaeota;O;Component of the proteasome core, a large protease complex with broad specificity involved in protein degradation;-;-;3.4.25.1;ko:K03433;ko03050,map03050;M00342,M00343;-;-;ko00000,ko00001,ko00002,ko01000,ko01002,ko03051;-;-;-;Proteasome
k105_105717_6;1229909.NSED_09195;0.0;1199.0;COG1782@1|root,arCOG00543@2157|Archaea,41T05@651137|Thaumarchaeota;651137|Thaumarchaeota;S;RNA-metabolising metallo-beta-lactamase;-;-;-;ko:K07041;-;-;-;-;ko00000;-;-;-;Beta-Casp,KH_7,Lactamase_B_6,RMMBL
k105_105717_7;1229909.NSED_09190;1.72e-52;166.0;COG2450@1|root,arCOG02263@2157|Archaea,41T6T@651137|Thaumarchaeota;651137|Thaumarchaeota;D;Pfam:DUF552;-;-;-;ko:K09152;-;-;-;-;ko00000;-;-;-;SepF
k105_105717_8;436308.Nmar_1725;9.33e-213;591.0;COG0301@1|root,arCOG00038@2157|Archaea,41T1A@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Thiamine biosynthesis protein (ThiI);-;-;-;-;-;-;-;-;-;-;-;-;DUF814,ThiI
k105_105717_9;1229909.NSED_09180;2.39e-233;644.0;COG0006@1|root,arCOG01000@2157|Archaea,41T14@651137|Thaumarchaeota;651137|Thaumarchaeota;E;Belongs to the peptidase M24B family;-;-;3.4.11.9,3.4.13.9;ko:K01262,ko:K01271;-;-;-;-;ko00000,ko01000,ko01002;-;-;-;Creatinase_N,Peptidase_M24
k105_105717_10;1229909.NSED_09175;4.05e-54;175.0;arCOG10600@1|root,arCOG10600@2157|Archaea,41T8K@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_105717_11;1229909.NSED_01035;7.82e-25;93.6;COG5466@1|root,arCOG05278@2157|Archaea;2157|Archaea;S;small metal-binding protein;-;-;-;-;-;-;-;-;-;-;-;-;DUF1059
k105_105717_12;436308.Nmar_1722;3.05e-137;395.0;COG0500@1|root,arCOG04347@2157|Archaea,41T35@651137|Thaumarchaeota;651137|Thaumarchaeota;Q;Nodulation protein S (NodS);-;-;-;-;-;-;-;-;-;-;-;-;-
k105_105717_13;436308.Nmar_1721;3.98e-218;611.0;COG0452@1|root,arCOG01704@2157|Archaea,41SYG@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine;-;-;4.1.1.36,6.3.2.5;ko:K13038;ko00770,ko01100,map00770,map01100;M00120;R03269,R04231;RC00064,RC00090,RC00822;ko00000,ko00001,ko00002,ko01000;-;-;-;DFP,Flavoprotein
k105_105717_14;436308.Nmar_1720;2.28e-98;296.0;COG0413@1|root,arCOG00584@2157|Archaea,41SZX@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate;panB;-;2.1.2.11;ko:K00606;ko00770,ko01100,ko01110,map00770,map01100,map01110;M00119;R01226;RC00022,RC00200;ko00000,ko00001,ko00002,ko01000;-;-;-;Pantoate_transf
k105_105717_15;436308.Nmar_1719;2.52e-109;322.0;COG1701@1|root,arCOG04262@2157|Archaea,41SXP@651137|Thaumarchaeota;651137|Thaumarchaeota;S;Pfam:DUF137;-;-;6.3.2.36;ko:K09722;ko00410,ko00770,ko01100,map00410,map00770,map01100;-;R09379;RC00096,RC00141;ko00000,ko00001,ko01000;-;-;-;PPS_PS
k105_105717_16;436308.Nmar_1718;6.83e-173;487.0;COG1829@1|root,arCOG04263@2157|Archaea,41T1V@651137|Thaumarchaeota;651137|Thaumarchaeota;S;kinase, sugar kinase superfamily;-;-;2.7.1.169;ko:K06982;ko00770,ko01100,map00770,map01100;-;R09378;RC00002,RC00017;ko00000,ko00001,ko01000;-;-;-;GHMP_kinases_N
k105_105717_17;436308.Nmar_1717;4.86e-172;486.0;COG0704@1|root,arCOG00318@2157|Archaea,41T1H@651137|Thaumarchaeota;651137|Thaumarchaeota;P;Phosphate uptake regulator;-;-;-;-;-;-;-;-;-;-;-;-;PhoU
k105_105938_1;436308.Nmar_0591;9.2e-197;558.0;COG0312@1|root,arCOG00322@2157|Archaea,41T72@651137|Thaumarchaeota;651137|Thaumarchaeota;S;modulator of DNA gyrase;-;-;-;ko:K03592;-;-;-;-;ko00000,ko01002;-;-;-;PmbA_TldD
k105_105938_2;436308.Nmar_0592;1.4e-267;736.0;COG1060@1|root,arCOG00656@2157|Archaea,41SDT@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Radical SAM;-;-;2.5.1.77;ko:K11781;ko00680,ko01120,map00680,map01120;M00378;R09396;RC01381,RC03002,RC03007;ko00000,ko00001,ko00002,ko01000;-;-;-;Radical_SAM
k105_105938_3;436308.Nmar_0593;1.42e-229;638.0;COG1060@1|root,arCOG00657@2157|Archaea,41S95@651137|Thaumarchaeota;651137|Thaumarchaeota;H;Radical SAM;-;-;2.5.1.77;ko:K11780;ko00680,ko01120,map00680,map01120;M00378;R09396;RC01381,RC03002,RC03007;ko00000,ko00001,ko00002,ko01000;-;-;-;Radical_SAM
k105_105938_4;1229909.NSED_03105;1.82e-60;196.0;COG0265@1|root,arCOG02833@2157|Archaea,41S9W@651137|Thaumarchaeota;651137|Thaumarchaeota;O;Trypsin-like serine protease with C-terminal PDZ domain;-;-;-;-;-;-;-;-;-;-;-;-;PDZ_2,Trypsin_2
k105_106238_1;436308.Nmar_0641;4.06e-140;401.0;arCOG08669@1|root,arCOG08669@2157|Archaea,41SEB@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
k105_106238_2;1229909.NSED_03295;8.58e-64;199.0;arCOG08653@1|root,arCOG08653@2157|Archaea,41T9H@651137|Thaumarchaeota;651137|Thaumarchaeota;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
